questId	tag	sim	local_v83_en	remote_en	remote_zh
28271	needs-review	0.06	[Hunt] That Red Isn't For Everyone!	-	不是什么人都适合红色的！
28272	needs-review	0.07	[Hunt] Intimidating Octopuses	-	吓人的三眼章鱼
28273	needs-review	0.07	[Collect] Eww, It's Slimy!	-	呃，粘乎乎的!
28274	needs-review	0.06	[Hunt] Why Are Dark Stumps So Dark?	-	黑木妖为什么这么黑？
28275	needs-review	0.05	[Hunt] You Were Bitten by a Green Mushroom?	-	你被一只绿蘑菇咬了？
28276	needs-review	0.04	[Hunt] Drowsiness from the Orange Mushrooms?	-	花蘑菇造成眩晕？
28277	needs-review	0.07	[Hunt] Camouflaging Slimes	-	伪装的绿水灵
28278	needs-review	0.06	[Hunt] Destructively Strong Pigs	-	破坏力巨大的猪猪
28279	needs-review	0.05	[Collect] Red Ribbons Around the Pig's Neck	-	猪脖子周围的蝴蝶结
28280	needs-review	0.08	[Hunt] Sweep the Snails!	-	清理这些蜗牛！
28281	needs-review	0.04	[Collect] Preparations for the Traditional Ceremony	-	准备传统仪式
28282	needs-review	0.09	How to Avoid the Stink	-	如何躲避斯廷克
28283	needs-review	0.06	For the peace of Victoria Island...	-	为了金银岛的和平…
28287	likely-same	0.83	Witch Malady's Secret Mission	[Halloween] Witch Malady's Secret Mission	Witch Malady's Secret Mission
28288	likely-same	0.88	Stinky Seasoned Cursed Frog Eggs and Mushrooms	[Halloween] Stinky Seasoned Cursed Frog Eggs and Mushrooms	Stinky Seasoned Cursed Frog Eggs and M
28289	likely-same	0.82	Dreamy Bloody Mushroom Wine	[Halloween] Dreamy Bloody Mushroom Wine	Dreamy Bloody Mushroom Wine
28290	likely-same	0.88	The Highlight of a Witch Party! Slimy Canape	[Halloween] The Highlight of a Witch Party! Slimy Canape	The Highlight of a Witch Party! Slimy
28291	likely-same	0.71	Really Zingy Kabab	[Halloween] Really Zingy Kebab	Really Zingy Kebab
28292	likely-same	0.74	Stinky Swamp Wrap	[Halloween] Stinky Swamp Wrap	Stinky Swamp Wrap
28293	likely-same	0.88	Chew on it if you can! Rough Leather Steak	[Halloween] Chew on it if you can! Rough Leather Steak	Chew on it if you can! Rough Leather S
28294	likely-same	0.77	Witch's Special Stew	[Halloween] Witch's Special Stew	Witch's Special Stew
28295	likely-same	0.75	Witch's Dark Token	[Halloween] Witch's Dark Token	Witch's Dark Token
28296	likely-same	0.75	Butler: "The Trap"	[Halloween] Butler: 'The Trap'	Butler: 'The Trap'
28297	likely-same	0.75	Butler: "The Trap"	[Halloween] Butler: 'The Trap'	Butler: 'The Trap'
28298	likely-same	0.75	Butler: "The Trap"	[Halloween] Butler: 'The Trap'	Butler: 'The Trap'
28302	likely-same	0.74	Olivia: "Help Me"	[Halloween] Olivia: 'Help Me'	Olivia: 'Help Me'
28303	likely-same	0.79	Olivia: "Find My Daddy"	[Halloween] Olivia: 'Find My Daddy'	Olivia: 'Find My Daddy'
28304	likely-same	0.80	Olivia: "Bring My Daddy"	[Halloween] Olivia: 'Bring My Daddy'	Olivia: 'Bring My Daddy'
28305	likely-same	0.77	Joe: "Clear the Way"	[Halloween] Joe: 'Clear the Way'	Joe: 'Clear the Way'
28306	likely-same	0.78	Father: "Dirty House"	[Halloween] Father: 'Dirty House'	Father: 'Dirty House'
28307	likely-same	0.86	Steward: "I'm a Butler, Not a Maid!"	[Halloween] Steward: 'I'm a Butler, Not a Maid!'	Steward: 'I'm a Butler, Not a Maid!'
28308	likely-same	0.81	Jonas: "Jonas' Presence" 1	[Halloween] Jonas: 'Jonas' Presence' 1	Jonas: 'Jonas' Presence' 1
28309	likely-same	0.74	Olivia: "Help Me"	[Halloween] Olivia: 'Help Me'	Olivia: 'Help Me'
28310	likely-same	0.79	Olivia: "Find My Daddy"	[Halloween] Olivia: 'Find My Daddy'	Olivia: 'Find My Daddy'
28311	likely-same	0.80	Olivia: "Bring My Daddy"	[Halloween] Olivia: 'Bring My Daddy'	Olivia: 'Bring My Daddy'
28312	likely-same	0.77	Joe: "Clear the Way"	[Halloween] Joe: 'Clear the Way'	Joe: 'Clear the Way'
28313	likely-same	0.78	Father: "Dirty House"	[Halloween] Father: 'Dirty House'	Father: 'Dirty House'
28314	likely-same	0.86	Steward: "I'm a Butler, Not a Maid!"	[Halloween] Steward: 'I'm a Butler, Not a Maid!'	Steward: 'I'm a Butler, Not a Maid!'
28315	likely-same	0.81	Jonas: "Jonas' Presence" 2	[Halloween] Jonas: 'Jonas' Presence' 2	Jonas: 'Jonas' Presence' 2
28316	likely-same	0.74	Olivia: "Help Me"	[Halloween] Olivia: 'Help Me'	Olivia: 'Help Me'
28317	likely-same	0.79	Olivia: "Find My Daddy"	[Halloween] Olivia: 'Find My Daddy'	Olivia: 'Find My Daddy'
28318	likely-same	0.80	Olivia: "Bring My Daddy"	[Halloween] Olivia: 'Bring My Daddy'	Olivia: 'Bring My Daddy'
28319	likely-same	0.77	Joe: "Clear the Way"	[Halloween] Joe: 'Clear the Way'	Joe: 'Clear the Way'
28320	likely-same	0.78	Father: "Dirty House"	[Halloween] Father: 'Dirty House'	Father: 'Dirty House'
28321	likely-same	0.86	Steward: "I'm a Butler, Not a Maid!"	[Halloween] Steward: 'I'm a Butler, Not a Maid!'	Steward: 'I'm a Butler, Not a Maid!'
28322	likely-same	0.81	Jonas: "Jonas' Presence" 3	[Halloween] Jonas: 'Jonas' Presence' 3	Jonas: 'Jonas' Presence' 3
28325	needs-review	0.11	Dirty Treasure Map	-	肮脏的藏宝图
28344	needs-review	0.44	Hunter's Profission	Hunter's Luck - Week 6	Hunter's Luck - Week 6
29000	needs-review	0.47	Title Challenge - PQ Mania	PQ Mania	组队任务狂人
29001	likely-same	0.64	Title Challenge - Quest Specialist	Quest Specialist	任务狂人
29002	needs-review	0.49	Title Challenge - Celebrity!	Celebrity	超人气王
29003	likely-same	0.65	Title Challenge - Diligent Explorer	Diligent Explorer	诚实的冒险家
29004	likely-same	0.93	One Who's Touched the Sky	The One Who's Touched the Sky	站在巅峰的人
29006	likely-same	0.86	El Nath Mts. Explorer	El Nath Explorer	冰峰雪域山脉探险家
29016	likely-same	0.78	Title - Spirit Diviner	Spirit Diviner	安灵师
29017	needs-review	0.29	Title - Soul Conjurer	Spirit Walker	阴阳师
29018	likely-same	0.76	Title - Soul Guardian	Soul Guardian	退魔师
29019	likely-same	0.78	Title - Saint Exorcist	Saint Exorcist	神圣驱魔
29020	likely-same	0.75	Title - Dynamic Hair	Dynamic Hair	发型变换达人
29300	likely-same	0.64	Title Challenge - Ultimate Warrior	Ultimate Warrior	挑战称号 - 达到顶点的战士
29301	likely-same	0.65	Title Challenge - Ultimate Magician	Ultimate Magician	挑战称号 - 达到顶点的魔法师
29302	likely-same	0.62	Title Challenge - Ultimate Archer	Ultimate Archer	挑战称号 - 达到顶点的弓箭手
29303	likely-same	0.61	Title Challenge - Ultimate Thief	Ultimate Thief	挑战称号 - 达到顶点的飞侠
29304	likely-same	0.62	Title Challenge - Ultimate Pirate	Ultimate Pirate	挑战称号 - 达到顶点的海盗
29400	likely-same	0.61	Title Challenge - Veteran Hunter	Veteran Hunter	勤奋冒险家
29500	needs-review	0.47	Title Challenge - Maple Idol Star	Maple Idol	冒险岛偶像明星
29501	needs-review	0.59	Title Challenge - Horned Tail Slayer	Horntail Slayer	黑暗龙王征服者
29502	likely-same	0.64	Title Challenge - Pink Bean Slayer	Pink Bean Slayer	品克缤征服者
29503	needs-review	0.22	Title Challenge - Donation King	Donor	爱心使者
29509	likely-same	0.62	Persevering Challenger	Endless Challenge	无尽挑战
29916	likely-same	0.81	Henesys Donor Medal	Henesys Donor	射手村爱心使者
29917	likely-same	0.81	Ellinia Donor Medal	Ellinia Donor	魔法密林爱心使者
29918	likely-same	0.80	Perion Donor Medal	Perion Donor	勇士部落爱心使者
29919	likely-same	0.86	Kerning City Donor Medal	Kerning City Donor	废弃都市爱心使者
29920	likely-same	0.84	Sleepywood Donor Medal	Sleepywood Donor	林中之城爱心使者
29921	likely-same	0.82	Nautilus Donor Medal	Nautilus Donor	诺特勒斯爱心使者
29924	needs-review	0.55	The Revived Aran	Awakened Aran	苏醒的战神
29925	likely-same	0.90	Aran and Memory	Aran in Memory	记忆中的战神
29926	likely-same	0.67	Aran in Agony	Aran in Misery	试炼中的战神
29927	likely-same	0.83	Aran of Hope	Aran in Hope	希望中的战神
29931	needs-review	0.56	Honorary Subway Worker	Honorary Employee	荣誉乘务员
